UniqueCount	AmbigCount
2670	0
10316	17962
45316	14900
172	806
3837	0
1211	0
1294	0
8665	474
0	1
201	1895
3	758
1641	4
2253	0
2641	0
367	1469
48	1472
495	0
15904	0
831	0
1198	0
82	374
0	726
4910	0
4	1602
2459	0
0	258
1178	0
81	613
1232	0
7	1
0	0
0	0
395	0
1	0
41	440
4627	0
0	22
301	0
50141	0
8339	0
0	216
6650	0
44	104
66557	0
12605	0
2768	0
10252	0
24	6759
3167	0
3044	4
0	1071
990	1620
690	1923
491	1620
5	18783
2510	0
441	0
94410	0
15240	0
1327	0
170	0
1089	0
0	2338
3	2540
1	0
9447	0
5	227
254	934
7796	0
1276	0
0	13
0	1
105	619
9	17626
18777	0
64	55
18592	0
696	0
92	231
59710	0
3964	0
176	32
11192	32
89	0
1256	2165
0	2417
4815	0
0	1223
3627	5002
1	35
3668	0
30	2461
2330	0
33082	28
7997	304
915	0
393	0
1573	0
212666	20
30	4087
0	0
1	1615
0	0
3010	0
0	0
748	1549
0	0
0	0
0	0
37729	0
2149	0
39	225
0	56
0	102182
117	0
1	0
2379	9093
3307	0
3814	0
3264	0
163	1324
730	0
241949	9
63449	345
8498	0
1492	324
2879	0
14729	0
3284	0
2876	0
133	5419
4402	0
249	0
1294	0
2377	0
254	6526
1625	0
54	1595
2063	1292
7282	0
586	0
843	0
0	378
0	454
767	0
0	3489
339	0
0	949
621	15976
11575	1
722	0
9978	0
57	0
1227	16
1869	0
436	0
205	0
0	0
0	0
81	122
1791	0
3292	0
0	327
94	678
1528	0
1519	0
7307	0
10002	0
0	686
1356	0
657	0
43713	0
6199	0
10326	0
0	0
107730	1
2070	0
3817	0
24070	0
18	17
113	0
3587	0
945	0
25847	0
66114	0
64	513
35829	0
217	3242
1518	0
49407	0
2302	0
1771	0
2287	0
4862	0
6560	0
2410	0
8199	0
44	405
0	59
1165	0
6499	0
0	1354
4055	0
2000	0
1653	6697
2717	0
138	651
4	0
1	543
3614	5309
0	758
4520	0
10245	0
4205	0
0	0
2689	0
290	1115
69	15
38219	0
10916	0
0	11953
0	796
1148	0
37	853
7403	0
0	3695
2770	0
1893	0
4	504
3759	0
0	0
3395	0
779	0
4775	0
0	1617
6741	0
160	0
719	0
1063	0
0	611
333	0
83	141
0	871
0	1862
1373	0
6978	0
11918	0
5019	19678
5121	0
568	0
0	0
365	547
0	558
0	0
30	83
0	5538
102	1777
1647	2035
0	0
0	507
0	927
0	1971
57270	0
1064	5528
945	3621
17	5164
1370	0
5947	2511
3121	217
452	0
26528	0
21316	5
67	1075
0	4068
7071	0
2146	0
0	0
0	0
0	0
2753	7
7772	0
0	0
4	0
39772	0
0	0
0	0
2076	0
1857	0
1641	0
7306	1
8909	0
4592	0
1984	0
2791	0
34306	0
174	1506
561	8
166	972
715	761
0	538
827	0
1	59
0	44
72	216
21657	0
758	0
12244	0
361	0
4986	0
0	0
119	34
927	0
0	0
2	0
7910	0
2026	0
2497	0
4124	0
0	1
1525	0
0	0
23321	0
0	3
1	3859
1565	0
0	0
2	0
0	0
0	0
202296	0
0	0
2	0
3	0
0	0
7	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
0	0
0	0
98	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
8	0
0	0
0	0
1	0
0	0
2	0
0	0
7	0
0	0
0	0
0	0
3	0
0	0
1	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
34	0
4	0
0	0
10	0
0	0
17	0
9	0
2	0
0	0
0	0
12	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
24	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
1	0
27	0
0	0
0	0
1	0
153	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
7	0
81	3484
1045	0
0	0
4724	0
4122	9
323	0
0	0
0	305
832	937
1	8670
0	0
7060	0
0	0
13	2180
118	2310
7	2339
4296	0
148	2725
2	187
0	79
11765	0
12	1670
379	0
0	0
0	0
627	2702
15	2776
0	0
0	0
0	0
0	0
0	1
2	0
0	0
0	0
8850	2
70	749
5503	23
0	0
11	667
3106	0
6	345
42	0
530	0
93	695
0	0
0	3
0	3
2586	0
0	1
12	6332
0	0
0	0
345	0
536	0
103	1270
0	3
751	0
0	0
68	0
0	0
0	0
0	0
1	0
0	0
11	0
8824	30
7855	0
3368	15
0	0
0	0
3767	0
10	5
3	0
200	2564
872	0
0	5011
11	0
7252	0
1245	0
0	0
6676	0
0	1834
0	1884
6595	0
7358	0
0	0
0	1
445	6000
148	6000
0	0
1036	0
0	0
323	0
0	0
52	2489
0	2
323	4011
0	679
220	0
0	0
32	291
13	0
2428	0
0	0
100	1881
0	0
54	594
0	0
0	0
4736	0
477	0
0	0
909	3646
0	1025
0	957
6332	0
515	1502
4459	0
0	0
1598	0
0	1620
165	1739
476	0
3392	0
0	71
2	0
0	0
0	0
0	0
18	232
15	0
0	0
647	0
5335	0
1240	0
0	0
0	0
2	8
453	0
2	1119
0	0
0	0
0	39
6758	0
483	1296
0	0
1	0
847	0
0	0
0	0
4032	0
520	1065
1978	0
395	14388
586	0
44	1080
1700	0
1907	0
0	0
0	948
0	884
0	585
0	655
17	388
0	0
0	0
0	0
0	0
0	0
9258	0
0	38
970	853
0	766
11	452
0	0
2426	0
1733	3
0	0
4822	0
0	0
137	2491
0	0
1316	0
0	0
0	0
0	0
0	0
0	0
0	0
1	4278
1723	0
19	198
1644	93
0	0
0	0
0	0
0	0
0	0
183	899
175	1437
0	0
0	103
0	0
233	0
0	0
0	0
2817	0
0	0
0	0
2970	0
606	3380
133	0
6069	0
0	0
3	2
0	0
8	82
323	5051
2	0
1322	0
981	0
76	867
0	0
0	3037
794	7719
1	30
834	56
55	339
4359	0
96	1727
0	0
0	0
0	0
1	420
10	0
0	0
0	4
16	988
43	398
0	0
0	0
0	0
192	0
0	0
0	0
0	835
1	0
3	0
0	1
0	3
0	2
0	1
0	2
0	0
0	2
0	2
365	3311
1368	0
1994	0
104	389
1	0
5508	0
0	930
0	0
0	0
11871	0
0	0
0	0
0	0
206	8556
538	2527
251	12497
1539	30253
0	2790
0	0
66	0
0	0
0	1459
250	0
0	0
21	777
2172	0
0	0
342	1394
2	0
0	1
1303	0
66	3768
7484	0
57	421
0	0
1	300
0	0
810	0
274	574
14	9
36	1201
5552	12110
249	12110
137	0
2078	0
3991	0
431	3213
0	0
0	0
47	733
325	0
576	0
3413	0
1345	0
2734	0
2	0
0	0
1	66
0	0
1973	0
1	0
188	0
0	0
0	0
0	0
0	0
119	0
0	0
1485	685
3	1556
1	1492
122	903
0	494
0	0
0	0
105	0
859	0
8535	0
0	0
0	0
4084	0
47	991
0	0
0	38
2	38
24	0
0	0
491	0
0	145
0	0
476	0
733	0
115	1352
30	2333
0	40
1299	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	3
1020	0
781	184
11	943
0	2767
436	2689
1	224
424	496
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
836	5
0	0
1433	0
0	9
0	7
0	0
76	2
3	12
0	134
169	2052
0	0
1	0
0	0
0	0
0	0
0	0
1272	11624
1097	0
5	0
1685	0
0	647
127	166
4	0
467	7976
89	4644
0	2
0	0
0	2439
0	0
0	1
0	19
70	0
1007	0
0	1090
0	0
0	0
9603	0
1213	0
566	14
45	1410
13	960
5099	0
0	847
4	456
417	101
0	0
3003	2317
0	0
19	407
0	0
0	0
1362	0
42	381
10	671
0	7
0	0
0	0
1	0
0	0
1	133
1	0
93	1446
82	1446
0	0
0	0
0	0
2376	0
0	0
0	0
0	0
0	0
131	713
4870	0
2061	0
614	0
1	3622
2138	0
4158	0
1	0
692	177
0	0
0	0
0	0
35	285
0	0
0	0
0	0
0	0
4475	0
1	0
0	0
1	0
159	920
1	0
0	0
0	0
3001	0
137	0
0	0
386	0
1	0
123	0
0	0
0	0
1586	0
2220	0
685	680
131	680
115	100
1510	0
1	0
1	2
1795	0
78	955
0	0
0	0
730	0
34	0
0	0
41158	0
0	0
7	0
645	0
0	1797
1076	0
0	0
0	39
0	0
4756	0
1766	0
0	0
3	0
0	0
69	875
0	0
96	514
4235	3
0	0
0	0
0	0
1154	2128
0	0
0	0
28	2653
19	0
0	0
0	0
0	0
0	0
0	0
43	1326
598	0
5	0
4	0
0	0
0	0
0	0
2	1
80	0
0	0
4248	0
8	918
0	1116
101	880
976	0
0	0
0	0
346	0
157	2288
28	9372
0	0
0	0
1349	0
2265	0
0	1
0	1
35	571
117	48
4503	26
3269	3230
2557	0
3976	0
8273	0
28	2480
10	43936
44	150
0	0
0	0
16	0
73	3016
163	2225
0	0
0	0
0	0
1	0
102	1106
97	4426
222	4428
11	95
44	918
27	991
539	0
0	0
348	2161
291	0
271	151
0	134
379	2242
384	1797
4082	0
30	247
123	0
99	0
13	154
96	472
4699	0
1506	0
302	57
4	0
0	0
0	0
0	269
448	110
0	0
0	0
168	2459
1439	14538
0	0
1	0
0	29
0	0
0	0
3	1
841	0
2772	2
0	0
64	660
0	0
514	5196
216	1813
1	3436
72	0
0	0
57	741
12073	15
2829	0
0	0
54	382
0	0
16	72
3364	0
0	0
0	0
0	0
806	2673
0	0
4001	0
6396	0
36	10923
0	565
7482	0
19	0
1	801
2585	2552
10	0
74	40
234	2647
49	6622
520	6622
649	0
1	0
2020	0
1547	0
689	6179
351	0
0	0
3656	0
2	0
0	0
0	0
67	399
0	0
23016	0
98	4068
170	1308
2259	0
0	0
1109	0
0	0
0	0
0	0
0	0
90	1373
29428	0
188	2233
189	0
1	0
0	0
187	0
0	0
69	1
0	0
642	0
4	0
0	0
0	0
0	0
5	0
0	2
1	0
0	0
1	0
0	61
0	0
0	153
0	155
0	147
580	0
3124	0
0	0
0	0
0	0
1067	0
0	0
0	1040
273	0
239	3982
158	723
1999	0
648	0
2579	0
237	3127
74	3127
0	0
0	0
0	0
0	0
0	0
0	0
9	13
380	0
0	0
1867	0
0	0
108	892
4	1245
0	760
553	0
85	1099
24	2469
532	0
1303	2157
3470	0
0	0
0	1767
0	0
73	1059
0	0
1557	0
109	2029
23	633
0	0
0	0
1	0
990	0
0	0
1833	0
0	0
627	0
2041	0
997	52
4	36
0	0
1514	0
1573	8759
15319	8763
0	157
0	176
2267	0
194	246
1261	0
69	717
4	22
544	0
29	680
3	330
160	0
0	1
4048	0
0	0
0	0
27	376
23547	0
5	0
4	801
2674	0
129	738
126	1309
14123	0
1243	0
0	0
210	1356
54	441
2002	0
2	0
0	0
0	0
1903	0
0	0
1576	0
7	208
129	1110
2065	21
977	0
0	0
0	1
0	3
0	1
39	1967
1	126
125	0
0	0
1684	0
404	0
0	0
0	0
520	0
245	0
0	0
814	0
0	0
0	0
452	5740
2097	0
0	0
0	0
1	194
0	0
0	0
1534	42
0	0
0	0
2	548
5	602
2083	0
1	3
0	0
5702	0
0	0
0	0
0	0
1122	0
318	2063
1729	0
85	43
1588	122
0	0
28	327
105	0
2	0
0	3
1	3
0	0
35	737
0	11
3	0
0	0
0	0
160	0
0	4
20	0
0	0
889	2124
94	0
0	0
367	0
1239	40
2911	0
0	20
231	997
308	0
0	0
13000	0
0	0
956	0
10	0
0	0
0	0
2740	0
4149	0
6434	0
4	2552
0	2854
2	2415
559	5893
139	5893
3304	4
1708	0
180	1880
2196	0
60	2490
767	3
0	0
5145	0
0	0
0	0
0	0
4	0
0	0
2687	0
2182	0
19	457
0	0
1	0
0	0
0	0
591	920
3350	0
71	323
0	0
0	0
0	714
0	0
1257	0
0	3763
259	1446
9	720
1	1288
0	0
0	0
0	0
0	0
0	0
0	0
489	0
26	0
140	457
0	0
8	0
797	2
0	3213
2563	0
799	0
1950	0
0	0
0	0
0	0
0	0
5	23559
0	0
0	0
25	0
0	0
0	0
108	3942
0	3
2	0
0	0
2786	5092
0	0
42	486
1	475
5714	0
0	0
3406	0
29	2041
7007	0
3409	0
3742	0
0	0
0	0
0	2035
0	0
67	574
1	0
240	0
320	3140
1572	0
0	0
0	0
10	2
0	0
0	0
0	0
18654	0
0	865
23	689
3322	0
2	578
7	0
1	6
80	1850
4678	0
152	810
0	0
3419	0
37	742
1499	0
19644	22
0	0
0	1898
5214	0
3	0
2	0
1	0
0	1
36	146
0	0
0	0
0	0
1132	0
0	28
0	1615
0	0
1946	1141
9157	0
12	1227
3	1267
431	3205
1101	1
33	399
0	0
715	0
0	0
0	0
187	6113
136	2
1049	0
0	5
118	2711
640	2712
40	660
1	79
15	8
10818	0
807	0
5202	0
0	358
2934	0
0	0
0	0
0	31
26122	0
229	2522
47	2289
31	2283
11	2282
40	2278
5332	0
0	0
1886	0
0	0
0	4
14	0
0	0
60	898
2	471
0	0
15	664
35	2198
43	1624
3	80
0	0
493	2421
0	4
2319	0
154	1508
27	95
0	2
0	0
1105	10
1324	0
12619	0
1505	0
0	0
2	0
1017	0
0	856
684	58
0	1526
1458	0
0	0
0	0
0	0
0	1
76	644
18408	0
65	2624
806	2948
2	4
1267	0
4814	25
1990	0
0	0
0	0
60	736
0	0
0	0
3313	3
80	1208
8	4117
1	0
160	1592
1579	0
127	5414
425	1618
3624	0
2493	1
3	3624
3839	3
309	1954
2	3
4084	0
0	2
0	2
0	2
0	0
5	0
14	176
0	2742
0	3548
85	1758
512	0
0	5460
16116	15118
1	0
0	0
16	0
859	16
148	368
110	5357
2672	0
0	0
4	0
2248	13593
941	2485
6	5026
7	240
0	0
26	2351
167	411
49	987
430	0
60	91
9	5805
1492	0
19967	0
3	10
0	0
459	658
166	1883
8	720
712	0
3	245
0	0
277	1007
5	10
6679	0
0	3807
0	3262
0	0
461	2550
3	3174
552	67
6	67
1426	21
0	0
882	0
1305	0
0	0
24784	0
0	5
38	0
3	0
380	803
261	617
2	0
999	2
734	0
4	4
4	0
190	2458
5563	14
36	181
954	0
421	0
271	183
193	2350
11	0
44	557
1421	0
0	0
0	0
71	0
0	7
437	4038
4	2214
160	0
708	0
1142	0
0	0
49	2486
947	0
8505	0
12926	0
6901	0
7	0
1918	0
0	0
167	983
1530	0
2685	39
543	2697
42	183
149	7
2626	0
0	0
0	0
257	8868
41	79
1196	1270
1	5377
64	1448
4810	0
80	566
15105	0
0	0
0	0
3	0
0	0
0	0
0	0
1	0
0	2097
643	1947
59	3000
2	74
2024	0
0	0
1968	0
376	3983
42	1341
0	0
3175	0
0	0
0	0
59	1393
17	6557
207	1286
0	0
0	0
1950	8
1999	645
53309	0
1	0
0	0
53	5308
2	0
0	0
0	0
0	0
3378	0
0	1488
31	108
0	0
3706	2
2326	0
863	0
0	0
9171	0
0	0
0	2603
11	2280
14055	0
2537	0
571	6273
38	33
0	0
1264	0
883	146
2616	5
1323	0
0	0
0	0
2428	0
1	265
271	8456
0	1861
15	930
0	0
20423	0
21	112
295	1640
2144	0
557	0
0	0
20	46
17678	30
6	30
0	0
0	0
10	0
306	171
0	0
2	23
59	378
27121	390
9	0
1	0
4211	0
5528	0
0	0
0	0
377	0
7	0
2455	0
924	0
239	417
28	64
825	0
44	495
0	0
0	0
0	0
0	0
3	0
580	0
0	0
380	54
0	0
0	0
3	0
0	0
0	0
1613	0
0	0
21	0
0	0
0	0
5701	0
536	0
0	0
0	0
3172	0
121	1053
0	0
4	533
0	0
0	0
0	0
0	0
0	24
99	285
0	0
0	0
3	0
12	0
0	1368
13	136
3373	0
253	0
1	0
536	6363
661	770
8	1346
0	4916
53	4488
23	4496
0	2083
0	2020
0	1837
0	1905
0	1950
187	888
633	4660
2	0
130	1121
28	1121
3513	0
0	0
2961	0
0	0
0	0
0	0
0	0
71	138
2	432
0	0
5	151
201	5491
1639	0
111	51
0	2
0	2
1497	0
5213	0
240	2647
318	2502
0	0
0	3
0	6963
600	0
29847	0
58	498
72	306
0	562
230	0
0	0
761	0
1598	0
0	0
20	85
0	0
0	0
29441	0
0	1
898	16
3	1681
2	400
733	0
0	0
2699	0
0	29
873	5625
1609	39
0	15
0	0
1044	0
0	0
0	127
4	277
0	0
3727	0
94	654
179	653
147	7282
151	390
1493	0
50	1572
918	7621
473	0
85	703
84	13565
4	13651
1155	13281
3	13508
2	0
1192	1
38	254
404	0
0	0
0	0
245	0
422	0
645	109
0	109
3541	0
0	0
240	709
1106	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
245	98
1135	0
0	0
232	640
666	0
2	0
0	0
1424	16806
1	0
36	464
3	142
4	142
1793	0
32	0
0	2
308	5278
5	2001
2021	0
115	2989
3	1
0	1
0	0
0	0
0	0
0	0
0	0
29	893
0	0
0	0
0	0
8714	0
1623	0
0	0
129	1426
140	1133
36	535
946	0
0	0
0	0
0	7
7068	0
0	0
21	0
0	3
363	1067
7761	121
0	0
0	789
0	333
0	0
0	0
6	2007
0	0
0	0
0	0
0	0
26	931
0	0
0	0
831	0
24	377
1086	0
341	0
185	188
23085	0
0	0
300	0
0	0
8152	0
102	1666
24	2
1063	0
5305	0
0	0
3964	0
77	192
2	94
1873	0
335	0
0	0
2687	0
0	0
3037	0
0	0
0	0
11	909
827	0
0	88
0	88
32	473
0	0
0	0
114	11
1284	8
598	0
854	0
3	86
0	0
95	2861
1210	0
1	0
0	0
0	0
5885	3
77	3
0	0
1	0
37	0
12	2852
458	0
73	776
23	1846
879	6201
5	0
0	0
1896	0
603	0
0	0
1985	20
0	0
10126	0
0	0
0	606
6	0
725	1318
48	3007
0	2919
6967	0
8463	0
6207	0
0	0
1	353
23	5
0	0
0	0
0	0
0	0
27	439
0	0
0	0
56	0
0	0
3	0
1135	0
161	1119
233	779
165	890
930	0
2418	0
0	904
2	0
0	0
51	2065
4064	0
1	0
1542	0
6	881
39	27
0	0
0	0
0	0
429	1066
53	313
360	2348
436	13319
1	0
222	2437
1	0
0	0
0	0
2379	0
53	40
1	40
55	138
54	190
0	0
252	3191
180	1348
52	203
0	3
0	0
0	0
0	0
4	0
0	1
931	0
1940	0
0	31
0	0
0	0
325	227
0	0
6	0
0	0
0	0
2416	0
67	858
61	79
0	679
5	0
0	330
0	0
0	0
19	962
350	5942
0	0
0	0
765	0
0	0
0	0
0	0
0	0
0	0
123	455
105	1364
30	0
0	0
0	0
0	0
0	0
266	552
9388	0
23	0
344	3865
138	3865
0	0
4612	0
9	93
9868	0
1247	0
0	5
0	0
11130	0
1	0
3	1476
106	2341
0	9
18009	0
1436	0
1295	0
1168	0
4	5608
6313	0
4	266
789	955
0	0
0	0
1	0
173	4820
1987	0
0	284
91	906
83	615
0	457
0	0
52	2522
0	0
969	112
2250	0
0	0
0	0
644	0
0	0
0	0
185	0
382	298
200	6978
48	704
0	0
0	0
0	0
0	0
306	942
1804	0
0	20
1	0
40	1407
7	0
1118	3282
1436	15156
0	0
0	0
0	0
0	0
1847	1
0	0
0	0
0	0
0	0
0	0
95	1470
1239	0
1117	0
0	0
11	372
150	965
46	569
76	8394
0	841
0	0
0	2095
277	1858
168	1755
0	0
0	0
2	0
4299	0
0	0
2	0
0	1618
30	1866
2183	0
1437	583
5478	2392
37	0
637	3928
50	3928
1	0
17	416
0	0
1618	0
1805	0
1	376
192	1911
3	11344
0	0
0	0
0	0
0	0
90	1094
0	1133
294	0
132	1076
238	1278
53	902
435	0
35	6717
27	225
0	3625
210	0
0	0
576	0
320	513
12427	0
0	0
0	0
0	0
4	0
1	0
51	67
149	1090
14884	149
9701	0
183	13003
378	0
9	2079
5389	0
4	0
56	916
0	0
0	0
3	50
0	0
489	6491
0	0
0	0
0	0
0	0
1235	0
1538	0
8	0
24	0
11	0
0	0
6	1384
0	1342
6734	0
0	798
2141	0
140	1556
5	818
0	0
0	0
0	2360
4	2895
0	0
6750	0
2	1965
0	0
0	0
1675	0
0	0
20	522
930	0
2183	17
560	3709
2	0
535	0
863	0
1442	0
0	0
1356	87
0	0
584	0
0	0
0	0
0	0
126	721
4185	0
3214	0
1	2259
0	0
2202	0
1300	0
0	0
0	0
1591	0
494	0
28528	2
0	0
0	0
6097	0
254	0
3244	390
97	2993
2023	0
294	2872
164	0
808	0
0	3003
64	139
0	2866
0	209
1534	0
0	0
0	0
0	0
0	0
1597	0
2836	0
1305	0
3	0
1873	14
0	0
0	0
0	0
356	4880
3	0
2256	2
6910	11
519	2
5458	0
1	0
1987	2
0	0
283	0
17	423
45	1611
2	43
2864	3631
1	2062
349	0
3921	2
3	0
0	0
0	0
0	60
714	0
1728	0
0	1371
0	0
309	318
4757	0
0	100
8	205
281	480
0	1709
898	0
914	6394
236	5460
0	0
1472	0
1041	0
6299	135
0	0
25	92
375	92
0	0
0	0
0	0
0	11
18	422
499	422
9901	0
2674	0
0	4
1	396
290	3605
2	0
1278	2320
1867	0
0	0
3782	62070
3	0
15	61
3065	0
1	0
0	0
299	0
5	5
1318	4
0	3907
0	3594
0	0
0	0
112	0
288	1336
9	1119
122	1097
31	2429
690	0
19	269
2313	0
1229	4159
1	2
118	2236
1	0
304	2268
2196	0
0	27
0	0
18	52
0	0
0	62
0	62
0	62
0	0
5097	0
408	5443
3707	0
1	5
0	0
0	0
1886	0
3245	0
3413	0
179	1221
893	0
133	1392
1355	0
4442	0
1773	0
0	59
4	1128
50	1166
398	11613
1099	11613
28	608
0	3483
0	3417
16	0
2213	0
1030	0
0	0
2155	0
83	2925
892	0
0	6
8	6
9724	0
1036	0
0	0
0	0
1430	0
0	0
0	16
102	6724
2392	49
230	1018
27	409
1360	0
486	0
13	131
0	0
0	0
0	0
0	0
0	16
1	0
8753	0
0	0
3	0
111	0
11	78
0	0
0	0
6576	0
189	0
0	1395
842	0
10574	0
22	292
838	0
491	0
0	0
0	0
0	0
0	0
42	0
0	0
0	1
592	0
3374	0
35	388
0	0
0	0
0	0
105	407
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1223	457
531	1389
0	0
5436	4
7850	0
0	1
241	144
0	0
0	0
0	0
0	1722
158	388
178	465
0	1
22	1158
0	24
19	0
903	2837
8	61
72	834
6902	0
0	0
3	0
42	51
8	25
112	25
2	12
975	0
13	0
3909	0
430	0
698	0
6	0
820	1036
118	3971
137	1433
185	778
19	200
0	0
0	1044
14825	0
125	525
226	1197
0	0
3	33
1628	67
2	3196
104	1123
3734	0
0	0
282	0
682	0
1625	0
195	2676
22	2676
134	2463
84	1742
10366	0
31	1454
933	851
0	0
0	9
0	0
0	0
1	184
2129	0
0	1
0	0
0	0
0	0
0	0
0	0
2837	0
7	212
0	0
5150	0
11	165
2	0
0	0
23	6
35	1257
74	918
648	0
4931	0
1838	0
3196	5
1	0
0	0
1416	0
15344	0
1	0
3910	0
7	0
16761	0
9534	0
10	14
0	0
74	0
0	90
40	0
0	7356
0	3987
0	4208
413	1024
18	977
97	2528
1	205
8170	875
1742	0
3602	0
12	5199
64	4591
5	4490
233	288
3131	0
0	1323
0	1178
0	1284
137	3
48	3945
1	184
0	56
3708	0
10250	0
11	1988
0	1
85	0
1	10
0	0
153	327
4705	0
7	3584
0	2
0	0
0	0
2956	0
2143	0
10235	0
0	1122
689	27
0	92
0	2034
1578	0
2	0
1	2
2728	0
2669	0
401	6154
7211	0
134	2007
3432	0
51	942
1	39
0	0
2209	0
1	0
1380	0
1267	0
1	0
0	0
0	0
6941	0
2	0
6933	0
3443	0
0	0
0	0
1	0
9634	0
2969	0
0	726
0	0
38	1028
1	961
2	909
296	4773
12	2779
52	383
741	0
110	1442
502	2414
768	0
1	28
549	5029
923	0
115	41
3	2037
70	2031
36	1997
63	0
843	1577
13	0
0	0
1827	6886
0	0
0	0
0	0
15848	0
4405	0
300	2458
0	52
0	0
0	0
0	3869
0	0
0	17
6819	2
0	0
0	0
0	0
0	0
0	0
3670	0
504	735
48	2706
0	0
1263	0
1	819
0	1902
6	644
103	305
208	0
1107	0
0	0
0	2
416	1015
2344	0
30	356
0	0
1083	0
148	3837
229	2164
227	1906
1	0
1270	2846
3417	0
3	0
893	2
0	0
7	0
0	24
1	0
1	0
2218	0
15	2800
324	0
0	0
292	1378
366	3722
0	22
6333	0
25	421
59	259
4334	0
232	1809
2	1
3492	0
257	122908
0	0
0	0
475	0
1300	0
36	0
12634	0
0	0
1976	1
4209	0
2	239
2	0
1	0
36	352
0	0
